ID,Roots,Glosses,Occurrences,Comments,LN Base,LN Sense,LN Gloss,LN Definition,LN Note,LN Tag,Categories,Examples,Exhaustive Examples,Level,Expansion Rule,Expansion Rule Status,Distribution,ParentID,Brief Gloss,Linguists Assistant
173684,118,,2,,,0,the number,,,,,,4|41|11|9|N|personA|seeA|||4|41|12|11|N|personA|seeA|||,4,,0,,,,0
173686,11th,,,,,0,the 11th item in a series,,,,,,,4,,0,,,,0
173687,12,,84,,,0,the number,,,,CA_____,"4,40,10,1|(NPp|Jesus|)|(VP|call|)|(NPP|(APA|12|)|disciple|(NPN|of|Jesus|)|)|~Jesus called his twelve disciples.",4|1|14|4|N|||yearA||4|1|17|20|N|||rulerA||4|1|20|16|N|||kilogramA||4|1|25|16|N|||sonA||4|1|25|16|N|||tribeA||4|1|35|22|N|||sonA||4|1|42|13|N|||brotherC||4|1|42|32|N|||brotherC||4|1|49|28|N|||tribeA||4|2|15|27|N|||springA||4|2|24|4|N|||pillarA||4|2|24|4|N|||pillarA||4|2|24|4|N|||tribeA||4|6|3|12|N|||manA||4|6|4|2|N|||manA||4|6|4|3|N|||stoneA||4|6|4|4|N|||manA||4|6|4|5|N|||stoneA||4|6|4|5|N|||stoneA||4|6|4|5|N|||tribeA||4|6|4|6|N|||stoneA||4|6|4|8|N|||manA||4|6|4|8|N|||stoneA||4|6|4|8|N|||stoneA||4|6|4|8|N|||tribeA||4|6|4|9|N|||stoneA||4|6|4|20|N|||stoneA||4|6|4|20|N|||stoneA||4|6|12|7|N|||tribeA||4|6|18|24|N|||townA||4|6|19|15|N|||townA||4|6|21|7|N|||townA||4|6|21|40|N|||townA||4|7|19|29|N|||pieceA||4|10|2|15|N|||manA||4|10|2|15|N|||manA||4|10|18|12|N|||kilogramA||4|16|5|14|N|||yearA||4|16|5|14|N|||yearA||4|17|2|12|N|||monthA||4|17|3|7|N|XerxesA|beL|||4|27|4|29|N|||monthA||4|40|2|18|N|||tribeA||4|40|4|6|N|||||4|40|5|33|N|||||4|41|3|13|N|||apostleA||4|41|3|14|N|||manA||4|41|3|14|N|||manA||4|41|3|16|N|||manA||4|41|4|10|N|||discipleA||4|41|5|25|N|||yearA||4|41|5|42|N|||yearA||4|41|6|7|N|||discipleA||4|41|6|7|N|||discipleA||4|41|6|43|N|||basketA||4|41|7|10|N|||||4|41|8|19|N|||||4|41|9|35|N|||discipleA||4|41|10|19|N|personA|seeA|||4|41|10|32|N|||discipleA||4|41|10|32|N|||discipleA||4|41|10|32|N|||discipleA||4|41|10|42|N|||discipleA||4|41|11|11|N|||discipleA||4|41|13|14|N|personA|seeA|||4|41|14|10|N|Judas-IscariotA|beC|||4|41|14|12|N|||discipleA||4|41|14|17|N|||discipleA||4|41|14|20|N|followerA|beB|||4|41|14|43|N|JudasA|beC|||4|42|2|42|N|||yearA||4|42|6|13|N|||manA||4|42|6|13|N|||manA||4|42|6|17|N|||manA||4|42|8|1|N|||apostleA||4|42|8|42|N|daughterA|beS|||4|42|8|43|N|||yearA||4|42|9|1|N|||apostleA||4|42|9|12|N|||apostleA||4|42|9|17|N|||basketA||4|42|18|31|N|||discipleA||4|42|22|3|N|||apostleA||4|42|22|3|N|||apostleA||4|42|22|30|N|||tribeA||,4,,0,,7,,1
173689,1200,,1,,,0,the number,,,,,,4|16|7|71|N|||kilogramA||,4,,0,,,,0
173691,120000,,2,,,0,"120,000",,,,,,4|7|8|10|N|||soldierA||4|32|4|11|N|personA|liveA|||,4,,0,,,,0
173693,123,,1,,,0,the number,,,,,,4|16|7|32|N|||manA||,4,,0,,,,0
173695,1254,,2,,,0,the number,,,,,,4|16|7|12|N|||manA||4|16|7|34|N|||manA||,4,,0,,,,0
173696,127,,3,,,0,the number,,,,CA_____,"4,17,1,1|(NPP|(APA|127|)|province|)|~127 provinces",4|1|23|1|N|||yearA||4|17|1|1|N|||countryA||4|17|8|9|N|||countryA||,4,,0,,7,,1
173698,1290,,1,,,0,the number,,,,CA_____,,4|27|12|11|N|||dayA||,4,,0,,7,,1
173700,12th,,4,,,0,12th in a series,,,,,,4|17|3|7|N|||monthA||4|17|3|13|N|||monthA||4|17|8|12|N|||monthA||4|17|9|1|N|||monthA||,4,,0,,,,0
173702,130,,2,,,0,the number,,,,CA_____,,4|1|5|3|N|||yearA||4|1|47|9|N|||yearA||,4,,0,,7,,1
173704,1335,,1,,,0,the number,,,,CA_____,,4|27|12|12|N|||dayA||,4,,0,,7,,1
173706,137,,3,,,0,the number,,,,CA_____,"4,2,6,16|(NPp|Levi|)|(VP|live|)|(NPN|for|(APA|137|)|year|)|~Levi lived for 137 years.",4|1|25|17|N|||yearA||4|2|6|16|N|||yearA||4|2|6|20|N|||yearA||,4,,0,,7,,1
173708,13th,,7,,,0,13th in a series,,,,,,4|1|14|4|N|||yearA||4|17|3|12|N|||dayA||4|17|3|13|N|||dayA||4|17|8|12|N|||dayA||4|17|9|1|N|||dayA||4|17|9|17|N|||dayA||4|17|9|18|N|||dayA||,4,,0,,,,0
173709,14,,9,,,0,the number,,,,CA_____,"4,40,1,17|(NPp|(APA|14|)|generation|)|~14 generations",4|1|6|15|N|||meterA||4|1|31|41|N|||yearA||4|1|46|22|N|||descendantA||4|6|15|36|N|||townA||4|6|18|28|N|||townA||4|40|1|17|N|||father/AgenerationA||4|40|1|17|N|||father/AgenerationA||4|40|1|17|N|||father/AgenerationA||4|40|5|27|N|||||,4,,0,,7,,1
173711,140,,0,,,0,the number,,,,CA_____,,,4,,0,,7,,1
173903,83,,1,,,0,the number,,,,C______,"4,2,7,7|(NPp|Aaron|)|(VP|live|)|(NPN|for|(APA|83|)|year|)|~Moses lived for 83 years.",4|2|7|7|N|||yearA||,4,,0,,7,,1
173905,84,,1,,,0,the number,,,,CA_____,"4,42,2,37|(NPS|(APA|84|)|year|)|~84 years",4|42|2|37|N|||yearA||,4,,0,,7,,1
173907,840,,1,,,0,the number,,,,CA_____,,4|1|5|13|N|||yearA||,4,,0,,7,,1
173909,85,,2,,,0,the number,,,,,,4|6|14|10|N|||yearA||4|9|22|18|N|||manA||,4,,0,,,,0
173911,86,,1,,,0,the number,,,,CA_____,,4|1|16|16|N|||yearA||,4,,0,,7,,1
173913,9,,17,,,0,the number,,,,CA_____,"4,17,9,18|(NPN|(APA|9|)|march|)|~March 9th",4|1|42|16|N|||brotherA||4|1|42|19|N|||brotherA||4|1|46|27|N|||childA||4|6|13|7|N|||tribeA||4|6|14|2|N|||tribeA||4|6|15|44|N|||townA||4|6|15|54|N|||townA||4|6|21|16|N|||townA||4|10|24|8|N|||monthA||4|40|4|16|N|personA|seeA|||4|40|4|16|N|personA|seeA|||4|41|4|12|N|||||4|41|9|44|N|personA|seeA|||4|41|9|46|N|personA|seeA|||4|41|13|14|N|personA|seeA|||4|41|16|8|N|manuscriptA|includeA|||4|42|17|17|N|||personA||,4,,0,,7,,1
173915,900,,2,,,0,the number,,,,,,4|7|4|3|N|||chariotA||4|7|4|13|N|||chariotA||,4,,0,,,,0
173917,91,,2,,,0,the number,,,,,,4|40|4|6|N|personA|seeA|||4|40|4|6|N|personA|seeA|||,4,,0,,,,0
173918,910,,1,,,0,the number,,,,CA_____,,4|1|5|14|N|||yearA||,4,,0,,7,,1
173920,928,,0,,,0,the number,,,,,,,4,,0,,,,0
173922,95,,1,,,0,the number,,,,,,4|16|7|25|N|||manA||,4,,0,,,,0
173924,962,,1,,,0,the number,,,,CA_____,,4|1|5|20|N|||yearA||,4,,0,,7,,1
173926,973,,1,,,0,the number,,,,,,4|16|7|39|N|||priestA||,4,,0,,,,0
173928,99,,3,,,0,the number,,,,CA_____,"4,40,18,12|(NPP|(APA|99|)|sheep|)|~99 sheep",4|1|17|1|N|||yearA||4|1|17|24|N|||yearA||4|42|15|4|N|||sheepA||,4,,0,,7,,1
