ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics,Unnecessary
11,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 14-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A14~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A14~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A14,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
12,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 15-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A15~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A15~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A15,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
13,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 18-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A18~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A18~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A18,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
14,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 180-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A180~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A180~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A180,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
15,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 2-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A2~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A2~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A2,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
16,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 20-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A20~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A20~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A20,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
18,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 25-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A25~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A25~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A25,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
19,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 3-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A3~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A3~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A3,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
20,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 3.5-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A3.5~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A3.5~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A3.5,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
21,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 30-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A30~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A30~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A30,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
22,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 300-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A300~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A300~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A300,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
23,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 4-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A4~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A4~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A4,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
24,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 40-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A40~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A40~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A40,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
25,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 4000-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A4000~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A4000~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A4000,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
26,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 430-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A430~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A430~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A430,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
27,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 5-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A5~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A5~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A5,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
28,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 50-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A50~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A50~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A50,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
29,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 500-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A500~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A500~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A500,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
30,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 5000-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A5000~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A5000~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A5000,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
31,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 6-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A6~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A6~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A6,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
32,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 60-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A60~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A60~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A60,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
33,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 600-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A600~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A600~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A600,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
34,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 600000-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A600000~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A600000~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A600000,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
35,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 7-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A7~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A7~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A7,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
36,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 70-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A70~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A70~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A70,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
37,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 72-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A72~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A72~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A72,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
38,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 75000-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A75000~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A75000~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A75000,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
39,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 77-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A77~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A77~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A77,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
40,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 8-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A8~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A8~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A8,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
41,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 80-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A80~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A80~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A80,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
43,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 84-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A84~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A84~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A84,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
44,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 9-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A9~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A9~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A9,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
45,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 99-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A99~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A99~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A99,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
