ID,Reference,Verse,Notes,NoteFonts,Manual Analysis,AnalyzersBestAnalysis,Residue
289,My Examples 1:289,,,,,,
290,My Examples 1:290,,,,,,
291,My Examples 1:291,,,,,,
292,My Examples 1:292,,,,,,
293,My Examples 1:293,,,,,,
294,My Examples 1:294,,,,,,
295,My Examples 1:295,,,,,,
296,My Examples 1:296,,,,,,
297,My Examples 1:297,,,,,,
298,My Examples 1:298,,,,,,
299,My Examples 1:299,,,,,,
300,My Examples 1:300,,,,,,
301,My Examples 1:301,,,,,,
302,My Examples 1:302,,,,,,
303,My Examples 1:303,,,,,,
304,My Examples 1:304,,,,,,
305,My Examples 1:305,,,,,,
306,My Examples 1:306,,,,,,
307,My Examples 1:307,,,,,,
308,My Examples 1:308,,,,,,
309,My Examples 1:309,,,,,,
310,My Examples 1:310,,,,,,
311,My Examples 1:311,,,,,,
312,My Examples 1:312,,,,,,
313,My Examples 1:313,,,,,,
314,My Examples 1:314,,,,,,
315,My Examples 1:315,,,,,,
316,My Examples 1:316,,,,,,
317,My Examples 1:317,,,,,,
318,My Examples 1:318,,,,,,
319,My Examples 1:319,,,,,,
320,My Examples 1:320,,,,,,
321,My Examples 1:321,,,,,,
322,My Examples 1:322,,,,,,
323,My Examples 1:323,,,,,,
324,My Examples 1:324,,,,,,
325,My Examples 1:325,,,,,,
326,My Examples 1:326,,,,,,
327,My Examples 1:327,,,,,,
328,My Examples 1:328,,,,,,
329,My Examples 1:329,,,,,,
330,My Examples 1:330,,,,,,
331,My Examples 1:331,,,,,,
332,My Examples 1:332,,,,,,
333,My Examples 1:333,,,,,,
334,My Examples 1:334,,,,,,
335,My Examples 1:335,,,,,,
336,My Examples 1:336,,,,,,
337,My Examples 1:337,,,,,,
338,My Examples 1:338,,,,,,
339,My Examples 1:339,,,,,,
340,My Examples 1:340,,,,,,
341,My Examples 1:341,,,,,,
342,My Examples 1:342,,,,,,
343,My Examples 1:343,,,,,,
344,My Examples 1:344,,,,,,
345,My Examples 1:345,,,,,,
346,My Examples 1:346,,,,,,
347,My Examples 1:347,,,,,,
348,My Examples 1:348,,,,,,
349,My Examples 1:349,,,,,,
350,My Examples 1:350,,,,,,
351,My Examples 1:351,,,,,,
352,My Examples 1:352,,,,,,
353,My Examples 1:353,,,,,,
354,My Examples 1:354,,,,,,
355,My Examples 1:355,,,,,,
356,My Examples 1:356,,,,,,
357,My Examples 1:357,,,,,,
358,My Examples 1:358,,,,,,
359,My Examples 1:359,,,,,,
360,My Examples 1:360,,,,,,
361,My Examples 1:361,,,,,,
362,My Examples 1:362,,,,,,
363,My Examples 1:363,,,,,,
364,My Examples 1:364,,,,,,
365,My Examples 1:365,,,,,,
366,My Examples 1:366,,,,,,
367,My Examples 1:367,,,,,,
368,My Examples 1:368,,,,,,
369,My Examples 1:369,,,,,,
370,My Examples 1:370,,,,,,
371,My Examples 1:371,,,,,,
372,My Examples 1:372,,,,,,
373,My Examples 1:373,,,,,,
374,My Examples 1:374,,,,,,
375,My Examples 1:375,,,,,,
376,My Examples 1:376,,,,,,
377,My Examples 1:377,,,,,,
378,My Examples 1:378,,,,,,
379,My Examples 1:379,,,,,,
380,My Examples 1:380,,,,,,
381,My Examples 1:381,,,,,,
382,My Examples 1:382,,,,,,
383,My Examples 1:383,,,,,,
384,My Examples 1:384,,,,,,
385,My Examples 1:385,,,,,,
386,My Examples 1:386,,,,,,
387,My Examples 1:387,,,,,,
388,My Examples 1:388,,,,,,
389,My Examples 1:389,,,,,,
390,My Examples 1:390,,,,,,
391,My Examples 1:391,,,,,,
392,My Examples 1:392,,,,,,
393,My Examples 1:393,,,,,,
394,My Examples 1:394,,,,,,
395,My Examples 1:395,,,,,,
396,My Examples 1:396,,,,,,
397,My Examples 1:397,,,,,,
398,My Examples 1:398,,,,,,
399,My Examples 1:399,,,,,,
400,My Examples 1:400,,,,,,
401,My Examples 1:401,,,,,,
402,My Examples 1:402,,,,,,
403,My Examples 1:403,,,,,,
404,My Examples 1:404,,,,,,
405,My Examples 1:405,,,,,,
406,My Examples 1:406,,,,,,
407,My Examples 1:407,,,,,,
408,My Examples 1:408,,,,,,
409,My Examples 1:409,,,,,,
410,My Examples 1:410,,,,,,
411,My Examples 1:411,,,,,,
412,My Examples 1:412,,,,,,
413,My Examples 1:413,,,,,,
414,My Examples 1:414,,,,,,
415,My Examples 1:415,,,,,,
416,My Examples 1:416,,,,,,
417,My Examples 1:417,,,,,,
418,My Examples 1:418,,,,,,
419,My Examples 1:419,,,,,,
420,My Examples 1:420,,,,,,
421,My Examples 1:421,,,,,,
422,My Examples 1:422,,,,,,
423,My Examples 1:423,,,,,,
424,My Examples 1:424,,,,,,
425,My Examples 1:425,,,,,,
426,My Examples 1:426,,,,,,
427,My Examples 1:427,,,,,,
428,My Examples 1:428,,,,,,
429,My Examples 1:429,,,,,,
430,My Examples 1:430,,,,,,
431,My Examples 1:431,,,,,,
432,My Examples 1:432,,,,,,
433,My Examples 1:433,,,,,,
434,My Examples 1:434,,,,,,
435,My Examples 1:435,,,,,,
436,My Examples 1:436,,,,,,
437,My Examples 1:437,,,,,,
438,My Examples 1:438,,,,,,
439,My Examples 1:439,,,,,,
440,My Examples 1:440,,,,,,
441,My Examples 1:441,,,,,,
442,My Examples 1:442,,,,,,
443,My Examples 1:443,,,,,,
444,My Examples 1:444,,,,,,
445,My Examples 1:445,,,,,,
446,My Examples 1:446,,,,,,
447,My Examples 1:447,,,,,,
448,My Examples 1:448,,,,,,
449,My Examples 1:449,,,,,,
450,My Examples 1:450,,,,,,
451,My Examples 1:451,,,,,,
452,My Examples 1:452,,,,,,
453,My Examples 1:453,,,,,,
454,My Examples 1:454,,,,,,
455,My Examples 1:455,,,,,,
456,My Examples 1:456,,,,,,
457,My Examples 1:457,,,,,,
458,My Examples 1:458,,,,,,
459,My Examples 1:459,,,,,,
460,My Examples 1:460,,,,,,
461,My Examples 1:461,,,,,,
462,My Examples 1:462,,,,,,
463,My Examples 1:463,,,,,,
464,My Examples 1:464,,,,,,
465,My Examples 1:465,,,,,,
466,My Examples 1:466,,,,,,
467,My Examples 1:467,,,,,,
468,My Examples 1:468,,,,,,
469,My Examples 1:469,,,,,,
470,My Examples 1:470,,,,,,
471,My Examples 1:471,,,,,,
472,My Examples 1:472,,,,,,
473,My Examples 1:473,,,,,,
474,My Examples 1:474,,,,,,
475,My Examples 1:475,,,,,,
476,My Examples 1:476,,,,,,
477,My Examples 1:477,,,,,,
478,My Examples 1:478,,,,,,
479,My Examples 1:479,,,,,,
480,My Examples 1:480,,,,,,
481,My Examples 1:481,,,,,,
482,My Examples 1:482,,,,,,
483,My Examples 1:483,,,,,,
484,My Examples 1:484,,,,,,
485,My Examples 1:485,,,,,,
486,My Examples 1:486,,,,,,
487,My Examples 1:487,,,,,,
488,My Examples 1:488,,,,,,
489,My Examples 1:489,,,,,,
490,My Examples 1:490,,,,,,
491,My Examples 1:491,,,,,,
492,My Examples 1:492,,,,,,
493,My Examples 1:493,,,,,,
494,My Examples 1:494,,,,,,
495,My Examples 1:495,,,,,,
496,My Examples 1:496,,,,,,
497,My Examples 1:497,,,,,,
498,My Examples 1:498,,,,,,
499,My Examples 1:499,,,,,,
500,My Examples 1:500,Mary read a book.,,,^,,
2,My Examples 1:2,Mary finished reading this big book very quickly.Mary saw another of those servants.,,,,,
1,My Examples 1:1,"Cain said to his older brother named Abel, “Let's go to a field and attacked him while they were in there.”~!~(NP Cain ) (VP said ) (NP to (NP _ his ) older[Lexical_Adjective] brother (NP named Abel ) ) [ ,_“ (NP ) (VP let`s[Pre-Verbal] go ) (NP to a[Pre-Nominal] field ) ] [ and (NP ) (VP attack+ed[Past_Tense] ) (NP him ) [ while (NP they ) (VP were ) (NP in there ) ] ] . ” ",,,,,
9,My Examples 1:9,John didn't eat anything.,,,,,
12,My Examples 1:12,"John saw the sun, which rose in the morning.",,,,,
