ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
54,John 2:3,"(implicit-situational) The people [who came to the wedding] ate food. (implicit-situational) And the people [who came to the wedding] drank wine. [When there was no wine [(implicit-situational) because people [who were celebrating the wedding] drank all the wine]] Jesus's mother said to Jesus, [""There is no more wine.] (implicit-situational) Are you(Jesus) able [you(Jesus) do a thing [in order to help these people]]. "" ",~\wd ~\tg c-IDp00NNNNNNNNNSNNN.............~\lu {~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1PDAnK3NN........~\lu person~\wd ~\tg c-TDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1PDAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu come~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A2SDAnK3NN........~\lu wedding~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu eat~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1A3SGAnK3NN........~\lu food~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNSNNN.............~\lu {~\wd ~\tg C-1A.....~\lu and~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1PDAnK3NN........~\lu person~\wd ~\tg c-TDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1PDAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu come~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A2SDAnK3NN........~\lu wedding~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu drink~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1A4SGAnK3NN........~\lu wine~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg c-EDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg P-1A.....~\lu when~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A4SGNnK3NN........~\lu wine~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ErUINAN...........~\lu be~\wd ~\tg ~\lu )~\wd ~\tg c-EDp00NNNNNNNNNSNNN.............~\lu [~\wd ~\tg P-1A.....~\lu because~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1PGAnK3NN........~\lu person~\wd ~\tg c-TDp00NNNNNNBNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1PGAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BrUINAN...........~\lu celebrate~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1A2SDAnK3NN........~\lu wedding~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu drink~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu all~\wd ~\tg P-1A.....~\lu -Subgroup~\wd ~\tg ~\lu )~\wd ~\tg N-1A4SDAnK3NN........~\lu wine~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu ]~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A5SFAnK3NN........~\lu mother~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Kinship~\wd ~\tg N-1A6SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu say~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A6SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg c-PDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg r-1A.....~\lu -QuoteBegin~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu more~\wd ~\tg ~\lu )~\wd ~\tg N-1A4SGNnK3NN........~\lu wine~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1EPUINAN...........~\lu be~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IYp00NNNNNNNNNSNNN.............~\lu {~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A6SDAnK2NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1DPUINAN...........~\lu be~\wd ~\tg ~\lu )~\wd ~\tg j-SP.....~\lu (~\wd ~\tg A-1AN.....~\lu able~\wd ~\tg c-pDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A6SDAnK2NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu do~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1B7SIAnK3NN........~\lu thing~\wd ~\tg ~\lu )~\wd ~\tg c-EDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg P-1A.....~\lu in-order-to~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A6SDAnK2NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu help~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1A1PDACK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg r-1A.....~\lu -QuoteEnd~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~|Aperson|Awedding|Afood|Awine|Amother|AJesus|Bthing|Bthing||||||||||||||||||||||||||||,,,,"41,^",,
56,John 2:5,"(paragraph) Jesus's mother said to the servants , [""You(servants) (imp) do all the things [that Jesus tells you(servants) [to do]]""]. ",~\wd ~\tg R-~\lu |~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1SFAnK3NN........~\lu mother~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Kinship~\wd ~\tg N-1A2SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu say~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A3PDAnK3NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg c-PIp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg r-1A.....~\lu -QuoteBegin~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A3PDAnK2NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1AEUINAN...........~\lu do~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu all~\wd ~\tg P-1A.....~\lu -Subgroup~\wd ~\tg ~\lu )~\wd ~\tg N-1B4PDAnK3NN........~\lu thing~\wd ~\tg c-TDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A2SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu tell~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1A3PDAnK2NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg c-PDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A3PDAnK2NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu do~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1B4PDAnK3NN........~\lu thing~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu ]~\wd ~\tg ~\lu )~\wd ~\tg r-1A.....~\lu -QuoteEnd~\wd ~\tg ~\lu ]~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~|Amother|AJesus|Aservant|Bthing|Athing|||||||||||||||||||||||||||||||,,,,"41,^",,
59,John 2:8,"(paragraph) Then Jesus said to those servants, [""Now you(servants) (imp) take/draw some water _implicit from the pots/jars _implicit]. And you(servants) (imp) take that water _implicit to the leader of this wedding."" (paragraph) So the servants took some of the water _implicit from the pots/jars _implicit to the leader of that wedding. ",~\wd ~\tg R-~\lu |~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu then~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu say~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A2PDAcK3NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg c-PIp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg r-1A.....~\lu -QuoteBegin~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A2PDAnK2NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1AEUINAN...........~\lu take~\wd ~\tg ~\lu )~\wd ~\tg n-SPI.N........~\lu (~\wd ~\tg N-1A3PGAnK3NN........~\lu water~\wd ~\tg ~\lu )~\wd ~\tg n-SsI.N........~\lu (~\wd ~\tg N-1A4PDAnK3NN........~\lu pot/Ajar~\wd ~\tg ~\lu )~\wd ~\tg d-S.....~\lu (~\wd ~\tg a-1AN.....~\lu now~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IIp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu and~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A2PDAnK2NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1EEUINAN...........~\lu take~\wd ~\tg ~\lu )~\wd ~\tg n-SPI.N........~\lu (~\wd ~\tg N-1A3SDAcK3NN........~\lu water~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A5SDAnK3NN........~\lu leader~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Region of Authority~\wd ~\tg N-1A6SDACK3NN........~\lu wedding~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg r-1A.....~\lu -QuoteEnd~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg R-~\lu |~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu so~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A2PDAnK3NN........~\lu servant~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ErUINAN...........~\lu take~\wd ~\tg ~\lu )~\wd ~\tg n-SPI.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu some~\wd ~\tg P-1A.....~\lu -Subgroup~\wd ~\tg ~\lu )~\wd ~\tg N-1A3SDAnK3NN........~\lu water~\wd ~\tg ~\lu )~\wd ~\tg n-SsI.N........~\lu (~\wd ~\tg N-1A4PDAnK3NN........~\lu pot/Ajar~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A5SDAnK3NN........~\lu leader~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Region of Authority~\wd ~\tg N-1A6SDAcK3NN........~\lu wedding~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~|AJesus|Aservant|Awater|Apot|Aleader|Awedding||||||||||||||||||||||||||||||,,,,"41,^",,
61,John 2:10,"And that leader said to the bridegroom _implicit, [""Every person first serves the best wine to the guests _implicit ]. And [after the guests become drunk] then every person serves less expensive wine to those guests. (implicit-situational) But you(man) did things differently. You(man) kept the best wine until now. ",~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu and~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A1SDAcK3NN........~\lu leader~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu say~\wd ~\tg ~\lu )~\wd ~\tg n-SdI.N........~\lu (~\wd ~\tg N-1A2SDAnK3NN........~\lu bridegroom~\wd ~\tg ~\lu )~\wd ~\tg c-PDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg r-1A.....~\lu -QuoteBegin~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu every~\wd ~\tg ~\lu )~\wd ~\tg N-1A3SGAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu serve~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AS.....~\lu good~\wd ~\tg ~\lu )~\wd ~\tg N-1A4SDAnK3NN........~\lu wine~\wd ~\tg ~\lu )~\wd ~\tg n-SdI.N........~\lu (~\wd ~\tg N-1A5PDAnK3NN........~\lu guest~\wd ~\tg ~\lu )~\wd ~\tg d-S.....~\lu (~\wd ~\tg a-1AN.....~\lu first~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu and~\wd ~\tg c-EDp00NNNNNNNNNNNNN.............~\lu [~\wd ~\tg P-1A.....~\lu after~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A5PDAnK3NN........~\lu guest~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu become~\wd ~\tg ~\lu )~\wd ~\tg j-SP.....~\lu (~\wd ~\tg A-1AN.....~\lu drunk~\wd ~\tg ~\lu )~\wd ~\tg ~\lu ]~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg C-1A.....~\lu then~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu every~\wd ~\tg ~\lu )~\wd ~\tg N-1A3SGAnK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1BPUINAN...........~\lu serve~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AL.....~\lu expensive~\wd ~\tg ~\lu )~\wd ~\tg N-1A4SGAnK3NN........~\lu wine~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A5PDAcK3NN........~\lu guest~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNSNNN.............~\lu {~\wd ~\tg C-1A.....~\lu but~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A6SDAnK2NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu do~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg N-1B7PGAnK3NN........~\lu thing~\wd ~\tg ~\lu )~\wd ~\tg d-S.....~\lu (~\wd ~\tg a-1AN.....~\lu differently~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A6SDAnK2NN........~\lu man~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1APUINAN...........~\lu keep~\wd ~\tg ~\lu )~\wd ~\tg n-SPN.N........~\lu (~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AS.....~\lu good~\wd ~\tg ~\lu )~\wd ~\tg N-1A4SDAnK3NN........~\lu wine~\wd ~\tg ~\lu )~\wd ~\tg d-S.....~\lu (~\wd ~\tg P-1A.....~\lu until~\wd ~\tg a-1AN.....~\lu now~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~|Aleader|Abridegroom|Aperson|Awine|Aguest|Aman|Bthing|||||||||||||||||||||||||||||,,,,"41,^",,
63,John 2:12,"After these events Jesus went to Capernaum named a city _implicit with Jesus's mother, Jesus's brothers, and Jesus's disciples. And those people stayed at that place for a few days. ",~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1B.....~\lu after~\wd ~\tg N-1A1PDACK3NN........~\lu event~\wd ~\tg ~\lu )~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A2SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu go~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg N-1A5SDAnK3NN........~\lu Capernaum~\wd ~\tg n-SNG.N........~\lu (~\wd ~\tg P-1A.....~\lu -Name~\wd ~\tg N-1A6SIAnK3NN........~\lu city~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg n-FNN.N........~\lu (~\wd ~\tg P-1A.....~\lu with~\wd ~\tg N-1A7SFAnK3NN........~\lu mother~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Kinship~\wd ~\tg N-1A2SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg n-CNN.N........~\lu (~\wd ~\tg N-1A3PFAnK3NN........~\lu brother~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Kinship~\wd ~\tg N-1A2SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg n-LNN.N........~\lu (~\wd ~\tg C-1B.....~\lu and~\wd ~\tg N-1A4PFAnK3NN........~\lu disciple~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu -Generic Genitive~\wd ~\tg N-1A2SDAnK3NN........~\lu Jesus~\wd ~\tg ~\lu )~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~\wd ~\tg c-IDp00NNNNNNNNNNNNN.............~\lu {~\wd ~\tg C-1A.....~\lu and~\wd ~\tg n-SAN.N........~\lu (~\wd ~\tg N-1A8PDAcK3NN........~\lu person~\wd ~\tg ~\lu )~\wd ~\tg v-S.....~\lu (~\wd ~\tg V-1ArUINAN...........~\lu stay~\wd ~\tg ~\lu )~\wd ~\tg n-SdN.N........~\lu (~\wd ~\tg P-1A.....~\lu at~\wd ~\tg N-1A9SDAcK3NN........~\lu place~\wd ~\tg ~\lu )~\wd ~\tg n-SNN.N........~\lu (~\wd ~\tg P-1A.....~\lu for~\wd ~\tg j-SA.....~\lu (~\wd ~\tg A-1AN.....~\lu few~\wd ~\tg ~\lu )~\wd ~\tg N-1AAPIAnK3NN........~\lu day~\wd ~\tg ~\lu )~\wd ~\tg .-~\lu .~\wd ~\tg ~\lu }~|Aevent|AJesus|Abrother|Adisciple|ACapernaum|Acity|Amother|Aperson|Aplace|Aday||||||||||||||||||||||||||,,,,"41,^",,
77,John 3:1,,,,,,,,
78,John 3:2,,,,,,,,
79,John 3:3,,,,,,,,
80,John 3:4,,,,,,,,
81,John 3:5,,,,,,,,
82,John 3:6,,,,,,,,
83,John 3:7,,,,,,,,
84,John 3:8,,,,,,,,
85,John 3:9,,,,,,,,
86,John 3:10,,,,,,,,
87,John 3:11,,,,,,,,
88,John 3:12,,,,,,,,
89,John 3:13,,,,,,,,
90,John 3:14,,,,,,,,
91,John 3:15,,,,,,,,
92,John 3:16,,,,,,,,
93,John 3:17,,,,,,,,
94,John 3:18,,,,,,,,
95,John 3:19,,,,,,,,
96,John 3:20,,,,,,,,
97,John 3:21,,,,,,,,
98,John 3:22,,,,,,,,
99,John 3:23,,,,,,,,
100,John 3:24,,,,,,,,
101,John 3:25,,,,,,,,
102,John 3:26,,,,,,,,
103,John 3:27,,,,,,,,
104,John 3:28,,,,,,,,
105,John 3:29,,,,,,,,
106,John 3:30,,,,,,,,
107,John 3:31,,,,,,,,
108,John 3:32,,,,,,,,
109,John 3:33,,,,,,,,
110,John 3:34,,,,,,,,
111,John 3:35,,,,,,,,
112,John 3:36,,,,,,,,
113,John 4:1,,,,,,,,
114,John 4:2,,,,,,,,
115,John 4:3,,,,,,,,
116,John 4:4,,,,,,,,
117,John 4:5,,,,,,,,
118,John 4:6,,,,,,,,
119,John 4:7,,,,,,,,
120,John 4:8,,,,,,,,
121,John 4:9,,,,,,,,
122,John 4:10,,,,,,,,
123,John 4:11,,,,,,,,
124,John 4:12,,,,,,,,
125,John 4:13,,,,,,,,
126,John 4:14,,,,,,,,
127,John 4:15,,,,,,,,
128,John 4:16,,,,,,,,
129,John 4:17,,,,,,,,
130,John 4:18,,,,,,,,
131,John 4:19,,,,,,,,
132,John 4:20,,,,,,,,
133,John 4:21,,,,,,,,
134,John 4:22,,,,,,,,
135,John 4:23,,,,,,,,
136,John 4:24,,,,,,,,
137,John 4:25,,,,,,,,
138,John 4:26,,,,,,,,
139,John 4:27,,,,,,,,
140,John 4:28,,,,,,,,
141,John 4:29,,,,,,,,
142,John 4:30,,,,,,,,
143,John 4:31,,,,,,,,
144,John 4:32,,,,,,,,
145,John 4:33,,,,,,,,
146,John 4:34,,,,,,,,
147,John 4:35,,,,,,,,
148,John 4:36,,,,,,,,
149,John 4:37,,,,,,,,
150,John 4:38,,,,,,,,
151,John 4:39,,,,,,,,
152,John 4:40,,,,,,,,
153,John 4:41,,,,,,,,
154,John 4:42,,,,,,,,
155,John 4:43,,,,,,,,
156,John 4:44,,,,,,,,
157,John 4:45,,,,,,,,
158,John 4:46,,,,,,,,
159,John 4:47,,,,,,,,
160,John 4:48,,,,,,,,
161,John 4:49,,,,,,,,
162,John 4:50,,,,,,,,
163,John 4:51,,,,,,,,
164,John 4:52,,,,,,,,
165,John 4:53,,,,,,,,
166,John 4:54,,,,,,,,
167,John 5:1,,,,,,,,
168,John 5:2,,,,,,,,
169,John 5:3,,,,,,,,
170,John 5:4,,,,,,,,
171,John 5:5,,,,,,,,
172,John 5:6,,,,,,,,
173,John 5:7,,,,,,,,
174,John 5:8,,,,,,,,
175,John 5:9,,,,,,,,
176,John 5:10,,,,,,,,
177,John 5:11,,,,,,,,
178,John 5:12,,,,,,,,
179,John 5:13,,,,,,,,
180,John 5:14,,,,,,,,
181,John 5:15,,,,,,,,
182,John 5:16,,,,,,,,
183,John 5:17,,,,,,,,
184,John 5:18,,,,,,,,
185,John 5:19,,,,,,,,
186,John 5:20,,,,,,,,
187,John 5:21,,,,,,,,
188,John 5:22,,,,,,,,
189,John 5:23,,,,,,,,
190,John 5:24,,,,,,,,
191,John 5:25,,,,,,,,
192,John 5:26,,,,,,,,
193,John 5:27,,,,,,,,
194,John 5:28,,,,,,,,
195,John 5:29,,,,,,,,
196,John 5:30,,,,,,,,
197,John 5:31,,,,,,,,
198,John 5:32,,,,,,,,
199,John 5:33,,,,,,,,
200,John 5:34,,,,,,,,
201,John 5:35,,,,,,,,
202,John 5:36,,,,,,,,
203,John 5:37,,,,,,,,
204,John 5:38,,,,,,,,
205,John 5:39,,,,,,,,
206,John 5:40,,,,,,,,
207,John 5:41,,,,,,,,
208,John 5:42,,,,,,,,
209,John 5:43,,,,,,,,
210,John 5:44,,,,,,,,
211,John 5:45,,,,,,,,
212,John 5:46,,,,,,,,
213,John 5:47,,,,,,,,
214,John 6:1,,,,,,,,
215,John 6:2,,,,,,,,
216,John 6:3,,,,,,,,
217,John 6:4,,,,,,,,
218,John 6:5,,,,,,,,
219,John 6:6,,,,,,,,
220,John 6:7,,,,,,,,
221,John 6:8,,,,,,,,
222,John 6:9,,,,,,,,
223,John 6:10,,,,,,,,
224,John 6:11,,,,,,,,
225,John 6:12,,,,,,,,
226,John 6:13,,,,,,,,
