ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
115,Revelations 7:2,,,,,,,,
116,Revelations 7:3,,,,,,,,
117,Revelations 7:4,,,,,,,,
118,Revelations 7:5,,,,,,,,
119,Revelations 7:6,,,,,,,,
120,Revelations 7:7,,,,,,,,
121,Revelations 7:8,,,,,,,,
122,Revelations 7:9,,,,,,,,
123,Revelations 7:10,,,,,,,,
124,Revelations 7:11,,,,,,,,
125,Revelations 7:12,,,,,,,,
126,Revelations 7:13,,,,,,,,
127,Revelations 7:14,,,,,,,,
128,Revelations 7:15,,,,,,,,
129,Revelations 7:16,,,,,,,,
130,Revelations 7:17,,,,,,,,
131,Revelations 8:1,,,,,,,,
132,Revelations 8:2,,,,,,,,
133,Revelations 8:3,,,,,,,,
134,Revelations 8:4,,,,,,,,
135,Revelations 8:5,,,,,,,,
136,Revelations 8:6,,,,,,,,
137,Revelations 8:7,,,,,,,,
138,Revelations 8:8,,,,,,,,
139,Revelations 8:9,,,,,,,,
140,Revelations 8:10,,,,,,,,
141,Revelations 8:11,,,,,,,,
142,Revelations 8:12,,,,,,,,
143,Revelations 8:13,,,,,,,,
144,Revelations 9:1,,,,,,,,
145,Revelations 9:2,,,,,,,,
146,Revelations 9:3,,,,,,,,
147,Revelations 9:4,,,,,,,,
148,Revelations 9:5,,,,,,,,
149,Revelations 9:6,,,,,,,,
150,Revelations 9:7,,,,,,,,
151,Revelations 9:8,,,,,,,,
152,Revelations 9:9,,,,,,,,
153,Revelations 9:10,,,,,,,,
154,Revelations 9:11,,,,,,,,
155,Revelations 9:12,,,,,,,,
156,Revelations 9:13,,,,,,,,
157,Revelations 9:14,,,,,,,,
158,Revelations 9:15,,,,,,,,
159,Revelations 9:16,,,,,,,,
160,Revelations 9:17,,,,,,,,
161,Revelations 9:18,,,,,,,,
162,Revelations 9:19,,,,,,,,
163,Revelations 9:20,,,,,,,,
164,Revelations 9:21,,,,,,,,
165,Revelations 10:1,,,,,,,,
166,Revelations 10:2,,,,,,,,
167,Revelations 10:3,,,,,,,,
168,Revelations 10:4,,,,,,,,
169,Revelations 10:5,,,,,,,,
170,Revelations 10:6,,,,,,,,
171,Revelations 10:7,,,,,,,,
172,Revelations 10:8,,,,,,,,
173,Revelations 10:9,,,,,,,,
174,Revelations 10:10,,,,,,,,
175,Revelations 10:11,,,,,,,,
176,Revelations 11:1,,,,,,,,
177,Revelations 11:2,,,,,,,,
178,Revelations 11:3,,,,,,,,
179,Revelations 11:4,,,,,,,,
180,Revelations 11:5,,,,,,,,
181,Revelations 11:6,,,,,,,,
182,Revelations 11:7,,,,,,,,
183,Revelations 11:8,,,,,,,,
184,Revelations 11:9,,,,,,,,
185,Revelations 11:10,,,,,,,,
186,Revelations 11:11,,,,,,,,
187,Revelations 11:12,,,,,,,,
188,Revelations 11:13,,,,,,,,
189,Revelations 11:14,,,,,,,,
190,Revelations 11:15,,,,,,,,
191,Revelations 11:16,,,,,,,,
192,Revelations 11:17,,,,,,,,
193,Revelations 11:18,,,,,,,,
194,Revelations 11:19,,,,,,,,
195,Revelations 12:1,,,,,,,,
196,Revelations 12:2,,,,,,,,
197,Revelations 12:3,,,,,,,,
198,Revelations 12:4,,,,,,,,
199,Revelations 12:5,,,,,,,,
200,Revelations 12:6,,,,,,,,
201,Revelations 12:7,,,,,,,,
202,Revelations 12:8,,,,,,,,
203,Revelations 12:9,,,,,,,,
204,Revelations 12:10,,,,,,,,
205,Revelations 12:11,,,,,,,,
206,Revelations 12:12,,,,,,,,
207,Revelations 12:13,,,,,,,,
208,Revelations 12:14,,,,,,,,
209,Revelations 12:15,,,,,,,,
210,Revelations 12:16,,,,,,,,
211,Revelations 12:17,,,,,,,,
212,Revelations 13:1,,,,,,,,
213,Revelations 13:2,,,,,,,,
214,Revelations 13:3,,,,,,,,
215,Revelations 13:4,,,,,,,,
216,Revelations 13:5,,,,,,,,
217,Revelations 13:6,,,,,,,,
218,Revelations 13:7,,,,,,,,
219,Revelations 13:8,,,,,,,,
220,Revelations 13:9,,,,,,,,
221,Revelations 13:10,,,,,,,,
222,Revelations 13:11,,,,,,,,
223,Revelations 13:12,,,,,,,,
224,Revelations 13:13,,,,,,,,
225,Revelations 13:14,,,,,,,,
226,Revelations 13:15,,,,,,,,
227,Revelations 13:16,,,,,,,,
228,Revelations 13:17,,,,,,,,
229,Revelations 13:18,,,,,,,,
230,Revelations 14:1,,,,,,,,
231,Revelations 14:2,,,,,,,,
232,Revelations 14:3,,,,,,,,
233,Revelations 14:4,,,,,,,,
234,Revelations 14:5,,,,,,,,
235,Revelations 14:6,,,,,,,,
236,Revelations 14:7,,,,,,,,
237,Revelations 14:8,,,,,,,,
238,Revelations 14:9,,,,,,,,
239,Revelations 14:10,,,,,,,,
240,Revelations 14:11,,,,,,,,
241,Revelations 14:12,,,,,,,,
242,Revelations 14:13,,,,,,,,
243,Revelations 14:14,,,,,,,,
244,Revelations 14:15,,,,,,,,
245,Revelations 14:16,,,,,,,,
246,Revelations 14:17,,,,,,,,
247,Revelations 14:18,,,,,,,,
248,Revelations 14:19,,,,,,,,
249,Revelations 14:20,,,,,,,,
250,Revelations 15:1,,,,,,,,
251,Revelations 15:2,,,,,,,,
252,Revelations 15:3,,,,,,,,
253,Revelations 15:4,,,,,,,,
254,Revelations 15:5,,,,,,,,
255,Revelations 15:6,,,,,,,,
256,Revelations 15:7,,,,,,,,
257,Revelations 15:8,,,,,,,,
258,Revelations 16:1,,,,,,,,
259,Revelations 16:2,,,,,,,,
260,Revelations 16:3,,,,,,,,
261,Revelations 16:4,,,,,,,,
262,Revelations 16:5,,,,,,,,
263,Revelations 16:6,,,,,,,,
264,Revelations 16:7,,,,,,,,
265,Revelations 16:8,,,,,,,,
266,Revelations 16:9,,,,,,,,
267,Revelations 16:10,,,,,,,,
268,Revelations 16:11,,,,,,,,
269,Revelations 16:12,,,,,,,,
270,Revelations 16:13,,,,,,,,
271,Revelations 16:14,,,,,,,,
272,Revelations 16:15,,,,,,,,
273,Revelations 16:16,,,,,,,,
274,Revelations 16:17,,,,,,,,
275,Revelations 16:18,,,,,,,,
276,Revelations 16:19,,,,,,,,
277,Revelations 16:20,,,,,,,,
278,Revelations 16:21,,,,,,,,
279,Revelations 17:1,,,,,,,,
280,Revelations 17:2,,,,,,,,
281,Revelations 17:3,,,,,,,,
282,Revelations 17:4,,,,,,,,
283,Revelations 17:5,,,,,,,,
284,Revelations 17:6,,,,,,,,
285,Revelations 17:7,,,,,,,,
286,Revelations 17:8,,,,,,,,
287,Revelations 17:9,,,,,,,,
288,Revelations 17:10,,,,,,,,
289,Revelations 17:11,,,,,,,,
290,Revelations 17:12,,,,,,,,
291,Revelations 17:13,,,,,,,,
292,Revelations 17:14,,,,,,,,
293,Revelations 17:15,,,,,,,,
294,Revelations 17:16,,,,,,,,
295,Revelations 17:17,,,,,,,,
296,Revelations 17:18,,,,,,,,
297,Revelations 18:1,,,,,,,,
298,Revelations 18:2,,,,,,,,
299,Revelations 18:3,,,,,,,,
300,Revelations 18:4,,,,,,,,
301,Revelations 18:5,,,,,,,,
302,Revelations 18:6,,,,,,,,
303,Revelations 18:7,,,,,,,,
304,Revelations 18:8,,,,,,,,
305,Revelations 18:9,,,,,,,,
306,Revelations 18:10,,,,,,,,
307,Revelations 18:11,,,,,,,,
308,Revelations 18:12,,,,,,,,
309,Revelations 18:13,,,,,,,,
310,Revelations 18:14,,,,,,,,
311,Revelations 18:15,,,,,,,,
312,Revelations 18:16,,,,,,,,
313,Revelations 18:17,,,,,,,,
314,Revelations 18:18,,,,,,,,
315,Revelations 18:19,,,,,,,,
316,Revelations 18:20,,,,,,,,
317,Revelations 18:21,,,,,,,,
318,Revelations 18:22,,,,,,,,
319,Revelations 18:23,,,,,,,,
320,Revelations 18:24,,,,,,,,
321,Revelations 19:1,,,,,,,,
322,Revelations 19:2,,,,,,,,
323,Revelations 19:3,,,,,,,,
324,Revelations 19:4,,,,,,,,
325,Revelations 19:5,,,,,,,,
326,Revelations 19:6,,,,,,,,
327,Revelations 19:7,,,,,,,,
328,Revelations 19:8,,,,,,,,
329,Revelations 19:9,,,,,,,,
330,Revelations 19:10,,,,,,,,
331,Revelations 19:11,,,,,,,,
332,Revelations 19:12,,,,,,,,
333,Revelations 19:13,,,,,,,,
334,Revelations 19:14,,,,,,,,
335,Revelations 19:15,,,,,,,,
336,Revelations 19:16,,,,,,,,
337,Revelations 19:17,,,,,,,,
338,Revelations 19:18,,,,,,,,
339,Revelations 19:19,,,,,,,,
340,Revelations 19:20,,,,,,,,
341,Revelations 19:21,,,,,,,,
342,Revelations 20:1,,,,,,,,
343,Revelations 20:2,,,,,,,,
344,Revelations 20:3,,,,,,,,
345,Revelations 20:4,,,,,,,,
346,Revelations 20:5,,,,,,,,
347,Revelations 20:6,,,,,,,,
348,Revelations 20:7,,,,,,,,
349,Revelations 20:8,,,,,,,,
350,Revelations 20:9,,,,,,,,
351,Revelations 20:10,,,,,,,,
352,Revelations 20:11,,,,,,,,
353,Revelations 20:12,,,,,,,,
354,Revelations 20:13,,,,,,,,
355,Revelations 20:14,,,,,,,,
356,Revelations 20:15,,,,,,,,
357,Revelations 21:1,,,,,,,,
358,Revelations 21:2,,,,,,,,
359,Revelations 21:3,,,,,,,,
360,Revelations 21:4,,,,,,,,
361,Revelations 21:5,,,,,,,,
362,Revelations 21:6,,,,,,,,
363,Revelations 21:7,,,,,,,,
364,Revelations 21:8,,,,,,,,
365,Revelations 21:9,,,,,,,,
366,Revelations 21:10,,,,,,,,
367,Revelations 21:11,,,,,,,,
368,Revelations 21:12,,,,,,,,
369,Revelations 21:13,,,,,,,,
370,Revelations 21:14,,,,,,,,
371,Revelations 21:15,,,,,,,,
372,Revelations 21:16,,,,,,,,
373,Revelations 21:17,,,,,,,,
374,Revelations 21:18,,,,,,,,
375,Revelations 21:19,,,,,,,,
376,Revelations 21:20,,,,,,,,
377,Revelations 21:21,,,,,,,,
378,Revelations 21:22,,,,,,,,
379,Revelations 21:23,,,,,,,,
380,Revelations 21:24,,,,,,,,
381,Revelations 21:25,,,,,,,,
382,Revelations 21:26,,,,,,,,
383,Revelations 21:27,,,,,,,,
384,Revelations 22:1,,,,,,,,
385,Revelations 22:2,,,,,,,,
386,Revelations 22:3,,,,,,,,
387,Revelations 22:4,,,,,,,,
388,Revelations 22:5,,,,,,,,
389,Revelations 22:6,,,,,,,,
390,Revelations 22:7,,,,,,,,
391,Revelations 22:8,,,,,,,,
392,Revelations 22:9,,,,,,,,
393,Revelations 22:10,,,,,,,,
394,Revelations 22:11,,,,,,,,
395,Revelations 22:12,,,,,,,,
396,Revelations 22:13,,,,,,,,
397,Revelations 22:14,,,,,,,,
398,Revelations 22:15,,,,,,,,
399,Revelations 22:16,,,,,,,,
400,Revelations 22:17,,,,,,,,
401,Revelations 22:18,,,,,,,,
402,Revelations 22:19,,,,,,,,
403,Revelations 22:20,,,,,,,,
404,Revelations 22:21,,,,,,,,
